epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,2129.42,0.77807,0.4457,0.90515,0.85328,0.76377,0.81309,0.58089,0.87241,0.5812,0.99086,0.0087229,0.0087229,0.0087229
131,2144.03,0.78319,0.44717,0.90548,0.84433,0.77014,0.81127,0.59231,0.84047,0.55829,0.96072,0.008713,0.008713,0.008713
132,2158.44,0.76756,0.43756,0.90435,0.86588,0.75856,0.81379,0.59548,0.84685,0.57764,0.96314,0.0087031,0.0087031,0.0087031
133,2176.67,0.76228,0.43674,0.89842,0.85946,0.75868,0.80971,0.58959,0.84361,0.56194,0.96015,0.0086932,0.0086932,0.0086932
134,2191.22,0.78498,0.44182,0.89918,0.85957,0.75733,0.81157,0.58412,0.86104,0.576,0.97619,0.0086833,0.0086833,0.0086833
135,2209.87,0.76893,0.43631,0.89865,0.8474,0.76144,0.81213,0.59442,0.87007,0.57395,0.97772,0.0086734,0.0086734,0.0086734
136,2224.14,0.77803,0.44491,0.90249,0.85032,0.76177,0.81222,0.59545,0.85631,0.55916,0.97315,0.0086635,0.0086635,0.0086635
137,2242.55,0.75763,0.42746,0.89664,0.85652,0.76096,0.80937,0.59386,0.84812,0.57614,0.96265,0.0086536,0.0086536,0.0086536
138,2257.26,0.76062,0.43023,0.89831,0.85163,0.75952,0.81427,0.60004,0.84282,0.56387,0.96525,0.0086437,0.0086437,0.0086437
139,2275.71,0.75273,0.4303,0.8995,0.85208,0.76677,0.81551,0.60129,0.83508,0.55963,0.96454,0.0086338,0.0086338,0.0086338
140,2290.12,0.74844,0.42981,0.89704,0.8684,0.75171,0.81117,0.59516,0.83199,0.57329,0.95528,0.0086239,0.0086239,0.0086239
141,2308.11,0.76012,0.42754,0.89859,0.85264,0.76402,0.81522,0.60028,0.8376,0.56223,0.95919,0.008614,0.008614,0.008614
142,2323.03,0.76313,0.43201,0.89701,0.84867,0.77107,0.82373,0.60392,0.83259,0.52432,0.9588,0.0086041,0.0086041,0.0086041
143,2338.08,0.75279,0.42917,0.89583,0.84693,0.77064,0.82042,0.59835,0.862,0.53938,0.97738,0.0085942,0.0085942,0.0085942
144,2356.38,0.76637,0.4389,0.90402,0.86381,0.75242,0.81276,0.5971,0.83197,0.55891,0.95644,0.0085843,0.0085843,0.0085843
145,2370.97,0.75314,0.42698,0.89403,0.85713,0.76365,0.81499,0.59999,0.82491,0.53966,0.94739,0.0085744,0.0085744,0.0085744
146,2389.81,0.76347,0.43577,0.90219,0.85215,0.7657,0.81661,0.60288,0.83613,0.56851,0.95838,0.0085645,0.0085645,0.0085645
147,2404.25,0.77123,0.43739,0.89906,0.86329,0.76965,0.82417,0.60948,0.82696,0.54519,0.95316,0.0085546,0.0085546,0.0085546
148,2422.19,0.75673,0.4245,0.89652,0.84704,0.7741,0.82027,0.60414,0.82862,0.53977,0.95822,0.0085447,0.0085447,0.0085447
149,2436.47,0.76819,0.43212,0.89871,0.85772,0.75766,0.81336,0.59368,0.84579,0.56495,0.96882,0.0085348,0.0085348,0.0085348
150,2454.65,0.77153,0.4366,0.90016,0.85356,0.7568,0.81561,0.59629,0.83699,0.55182,0.95861,0.0085249,0.0085249,0.0085249
151,2469.23,0.75781,0.42775,0.89587,0.85156,0.76505,0.81574,0.59238,0.85796,0.54317,0.97506,0.008515,0.008515,0.008515
152,2487.26,0.75884,0.42532,0.90048,0.85198,0.76957,0.81442,0.59773,0.84058,0.54538,0.96571,0.0085051,0.0085051,0.0085051
153,2501.7,0.77075,0.43399,0.89942,0.85133,0.76483,0.81236,0.59175,0.85392,0.55066,0.97735,0.0084952,0.0084952,0.0084952
154,2516.11,0.74728,0.42121,0.89306,0.84922,0.76228,0.81023,0.59597,0.8467,0.55524,0.9763,0.0084853,0.0084853,0.0084853
155,2534.26,0.76403,0.43079,0.89955,0.83927,0.769,0.81435,0.60115,0.82447,0.55222,0.95734,0.0084754,0.0084754,0.0084754
156,2548.55,0.74731,0.42094,0.89351,0.83916,0.77142,0.81452,0.60087,0.82254,0.54975,0.95178,0.0084655,0.0084655,0.0084655
157,2566.93,0.7568,0.43083,0.89914,0.85883,0.76801,0.81862,0.60304,0.82999,0.54026,0.95591,0.0084556,0.0084556,0.0084556
158,2581.32,0.75677,0.42802,0.89686,0.85759,0.7622,0.82202,0.60524,0.82165,0.54039,0.95039,0.0084457,0.0084457,0.0084457
159,2599.6,0.76888,0.43164,0.89796,0.85354,0.76182,0.81483,0.60269,0.81825,0.53835,0.95238,0.0084358,0.0084358,0.0084358
160,2614.79,0.77146,0.4332,0.90268,0.85403,0.76233,0.81527,0.60209,0.83487,0.55728,0.95913,0.0084259,0.0084259,0.0084259
161,2632.8,0.74639,0.42255,0.89806,0.8552,0.76518,0.81749,0.60306,0.83772,0.54952,0.95953,0.008416,0.008416,0.008416
162,2647.66,0.7538,0.42758,0.89782,0.85013,0.77286,0.82122,0.60425,0.8347,0.55463,0.95637,0.0084061,0.0084061,0.0084061
163,2665.8,0.7414,0.42908,0.89668,0.84531,0.76633,0.81318,0.59721,0.83696,0.54872,0.96039,0.0083962,0.0083962,0.0083962
164,2680.1,0.75342,0.42492,0.89833,0.83794,0.76924,0.80985,0.59841,0.8278,0.56434,0.95479,0.0083863,0.0083863,0.0083863
165,2694.67,0.74796,0.42106,0.89655,0.85423,0.77071,0.81643,0.60238,0.8282,0.55412,0.95428,0.0083764,0.0083764,0.0083764
166,2713.25,0.75261,0.42852,0.89652,0.83904,0.77498,0.81658,0.59752,0.84168,0.545,0.95897,0.0083665,0.0083665,0.0083665
167,2727.71,0.73666,0.41684,0.89371,0.84097,0.77557,0.81687,0.59924,0.83448,0.53944,0.95272,0.0083566,0.0083566,0.0083566
168,2746.06,0.74616,0.42335,0.89237,0.84687,0.76149,0.81412,0.60235,0.8314,0.53932,0.95723,0.0083467,0.0083467,0.0083467
169,2760.88,0.7436,0.42144,0.89392,0.85682,0.7583,0.8169,0.60605,0.83132,0.54687,0.9578,0.0083368,0.0083368,0.0083368
170,2778.95,0.7468,0.4255,0.89654,0.85702,0.75947,0.81876,0.60685,0.82832,0.54245,0.95489,0.0083269,0.0083269,0.0083269
171,2793.45,0.74855,0.42125,0.89102,0.86302,0.76855,0.82373,0.60693,0.83403,0.5306,0.95422,0.008317,0.008317,0.008317
